bill,year,,support_spent,oppose_spent,neutral_spent,support_hhi,oppose_hhi,neutral_hhi
h01693,2011,187,0,28125,240.8516221,,0.502222222,0.795601154
s01130,2011,187,871.2121212,0,5407.075934,1,,0.560860189
h02636,2011,187,0,0,4979.867368,,,0.773022717
h02635,2011,187,0,1663.054184,396.8836568,,0.480728011,0.577205714
h02634,2011,187,0,935.2355072,515.6754669,,1,0.581949309
h02633,2011,187,0,0,791.7923993,,,0.424914854
s01150,2011,187,4237.522104,5788.182272,6971.823931,0.633217579,0.76220188,0.143175868
s01833,2011,187,0,0,57.57646142,,,1
h02276,2011,187,2515.601481,0,0,1,,
h04090,2011,187,0,0,180.8378746,,,1
h01457,2011,187,625,7307.24,5373.807148,1,0.705106307,0.405838313
h01454,2011,187,494.4444444,4162.173536,8379.468109,0.818204772,0.427394317,0.21381869
h01455,2011,187,4.455,1800,771.0321865,1,1,0.524602582
h01452,2011,187,46,0,104.5609651,1,,0.500041077
h01101,2011,187,100,0,104.5609651,1,,0.500041077
h01450,2011,187,0,0,389.6404194,,,0.867349885
h01451,2011,187,0,4553.105263,1656.096631,,1,0.254707928
h01676,2011,187,4910.962174,26599.35142,95.16526741,0.359220145,0.390295367,1
h01853,2011,187,39115.82738,0,4090.45461,0.41856729,,0.509559333
h01850,2011,187,0,0,1551.571558,,,0.500702391
h01675,2011,187,45600,0,8994.418105,0.493113266,,0.28259653
h00279,2011,187,4783.703055,2308.769995,7959.825162,0.29451883,0.210742058,0.120141244
h00278,2011,187,0,14647.9836,2049.960682,,0.174005528,0.474117819
h01854,2011,187,68863.8819,218.19,9958.235734,0.372073967,1,0.345168499
h01671,2011,187,106968.3017,308899.2375,45485.22831,0.331352851,0.252907419,0.343870615
h00275,2011,187,0,76.19047619,17332.15062,,1,0.169065764
h00274,2011,187,4200,7745.607514,304.0896954,1,0.289632893,0.54973901
h01858,2011,187,73055.23755,141.3235265,9250.665,0.749286594,1,1
h01859,2011,187,1864.59,300.51,0,0.685399574,1,
h00271,2011,187,1209.112626,0,11707.17644,0.53210038,,0.253705638
h00270,2011,187,1697.390301,3429.254902,1022.498127,0.287457444,0.454661853,0.938454191
h00273,2011,187,28934.63292,65460.26248,10934.85015,0.183935673,0.502209641,0.19597709
h00272,2011,187,1128.502415,7006.492838,1973.430069,0.53387127,0.140592137,0.507194629
s00409,2011,187,6590.6975,8865.668929,27690.85494,0.533976219,0.239043804,0.710493784
s00408,2011,187,34808.34983,0,1074.105065,0.239757948,,0.629918497
h01173,2011,187,645.085,24302.13495,2329.155704,0.651350837,0.348957181,0.898986484
h02819,2011,187,0,275,547.1006029,,1,0.297442521
h02818,2011,187,3675.595238,0,348.5883034,1,,0.405029767
s00403,2011,187,4033.5,2369.978692,2822.08498,1,0.197721044,0.545614634
h02816,2011,187,0,0,104.5609651,,,0.500041077
s00401,2011,187,1158.730159,1160.714286,16214.24219,0.527115782,1,0.171374032
h02814,2011,187,10490.40894,0,14158.60066,0.35628246,,0.837312806
s00407,2011,187,2252.631579,6784.451719,9089.92432,0.502139925,0.137529173,0.45197659
s00406,2011,187,16256.91853,7782.499514,78.125,0.532476289,0.287353566,1
s00405,2011,187,4154.37,7967.737188,0,1,0.272810714,
s00404,2011,187,4154.37,8422.820714,0,1,0.249971304,
h00671,2011,187,4907.3,0,306.2068966,1,,1
h00670,2011,187,990,0,0,1,,
h00675,2011,187,2399.47875,0,0,1,,
h00674,2011,187,545.4545455,0,310.4906793,1,,0.373650256
h00677,2011,187,0,0,79.13808892,,,1
h00745,2011,187,826.3333333,0,0,0.540332419,,
h00679,2011,187,1272.99,0,103.4482759,0.591246119,,1
h00678,2011,187,6383.333333,0,0,0.501803135,,
h04386,2011,187,1050,0,0,1,,
h01931,2011,187,139.26,0,0,1,,
s02791,2011,187,8181.818182,0,0,1,,
h04092,2011,187,0,0,1706.756582,,,0.955989998
s01811,2011,187,0,6475,0,,1,
h04906,2011,187,1000,0,0,1,,
h00419,2011,187,0,0,644.0141771,,,0.444779775
h00418,2011,187,4394.521849,0,51475.73563,0.241372945,,0.384567196
s01165,2011,187,7536.112185,0,4351.08673,0.241631763,,0.265020796
s01164,2011,187,1943.958899,409.0909091,5499.732755,0.94782976,1,0.246787945
s01163,2011,187,0,1412.440191,0,,1,
s01162,2011,187,668.0903247,5788.182272,5069.847602,0.735628054,0.76220188,0.238449109
s01161,2011,187,17636.52618,396.2486157,291.4244845,0.346600057,0.515103068,0.51718327
s01160,2011,187,15655.45214,0,104.5609651,0.550513208,,0.500041077
h00411,2011,187,0,300.51,392.4589198,,1,0.857781241
h00410,2011,187,1586.664762,0,1526.908761,0.429920413,,0.239758672
h00413,2011,187,409.0909091,0,0,1,,
h00412,2011,187,1845.883333,0,433.5051111,0.529145755,,0.725207985
h00415,2011,187,4338.728571,0,2005.159585,0.671189681,,0.450906809
h04199,2011,187,433.0666667,0,19795.39109,1,,0.554641394
s01169,2011,187,104.7295188,2836.22475,14272.98364,1,0.727371523,0.44403781
s01168,2011,187,6281.765794,2836.22475,3757.452282,0.307235174,0.727371523,0.337309849
s00577,2011,187,6227.18,0,1027.993618,1,,0.549139878
s00576,2011,187,1517.636538,0,0,1,,
s00574,2011,187,0,0,102.2024087,,,0.656013489
s01287,2011,187,5307,0,79.13808892,1,,1
